package_path	data_role	species	assay	resolution_bp	chromosome	source_project_path	size_bytes	sha256
progress/1-balanced-cool/BY4741/HiC/1000/chr1_1000.cool	balanced_contact_matrix	BY4741	HiC	1000	chr1	progress/1-balanced-cool/BY4741/HiC/1000/chr1_1000.cool	86622	b3b82829e3a36e6183626543f7a76332dcebafa4f21764c4dd3256f3383532d7
progress/1-balanced-cool/BY4741/HiC/10000/chr1_10000.cool	balanced_contact_matrix	BY4741	HiC	10000	chr1	progress/1-balanced-cool/BY4741/HiC/10000/chr1_10000.cool	54952	fcabfd40e10c417bb36f6e779a2958a2b2f349d64e29491a33fadd2e1855760e
progress/1-balanced-cool/BY4741/HiC/2000/chr1_2000.cool	balanced_contact_matrix	BY4741	HiC	2000	chr1	progress/1-balanced-cool/BY4741/HiC/2000/chr1_2000.cool	63140	2a169a708a972f923b4f4161bef675b271626fae58ee2ecc39d5a71c76beeb4b
progress/1-balanced-cool/BY4741/HiC/500/chr1_500.cool	balanced_contact_matrix	BY4741	HiC	500	chr1	progress/1-balanced-cool/BY4741/HiC/500/chr1_500.cool	161521	8308726f7539acd15adc221ef9139d9ba167f764a71b3eac77222cc0a2cde2ec
progress/1-balanced-cool/BY4741/HiC/5000/chr1_5000.cool	balanced_contact_matrix	BY4741	HiC	5000	chr1	progress/1-balanced-cool/BY4741/HiC/5000/chr1_5000.cool	54952	3be48d654cba68dec76e4bb05781540035877bc359f7e0e08c452ec350d9c061
progress/1-balanced-cool/BY4741/Micro-C/200/chr1_200.cool	balanced_contact_matrix	BY4741	Micro-C	200	chr1	progress/1-balanced-cool/BY4741/Micro-C/200/chr1_200.cool	38016298	72d9f7f4751a0374c026e2dae5d18ab3743f299b340c8fc7df6d4dec463de463
progress/1-balanced-cool/BY4741/Micro-C/500/chr1_500.cool	balanced_contact_matrix	BY4741	Micro-C	500	chr1	progress/1-balanced-cool/BY4741/Micro-C/500/chr1_500.cool	24086326	9746f76754933cc9af348e0a3e40568edab9a8635a714acff430e35be1780cc8
progress/1-balanced-cool/E.coli/HiC/1000/NC_000913.3_1000.cool	balanced_contact_matrix	E.coli	HiC	1000	NC_000913.3	progress/1-balanced-cool/E.coli/HiC/1000/NC_000913.3_1000.cool	45189083	46d2ef33f6fb945cc7dbbae27d42cb600dee9a656cb046adc3ec8701d2ebcb78
progress/1-balanced-cool/E.coli/HiC/10000/NC_000913.3_10000.cool	balanced_contact_matrix	E.coli	HiC	10000	NC_000913.3	progress/1-balanced-cool/E.coli/HiC/10000/NC_000913.3_10000.cool	795760	8037493a1543eab74a1b66e5170a698edce1226863d6d036a973a29ace70438d
progress/1-balanced-cool/E.coli/HiC/2000/NC_000913.3_2000.cool	balanced_contact_matrix	E.coli	HiC	2000	NC_000913.3	progress/1-balanced-cool/E.coli/HiC/2000/NC_000913.3_2000.cool	17560641	417f0a4cd8972101021e3c43dd87521ca723eb56b6866554de0cb65645d86af7
progress/1-balanced-cool/E.coli/HiC/500/NC_000913.3_500.cool	balanced_contact_matrix	E.coli	HiC	500	NC_000913.3	progress/1-balanced-cool/E.coli/HiC/500/NC_000913.3_500.cool	75457036	581feb12f44af07591167d97bd4edc2d26e9b2cfb4b170c9836ca99d5df56f88
progress/1-balanced-cool/E.coli/HiC/5000/NC_000913.3_5000.cool	balanced_contact_matrix	E.coli	HiC	5000	NC_000913.3	progress/1-balanced-cool/E.coli/HiC/5000/NC_000913.3_5000.cool	3072419	dea1ff73bdc0db110345bf3438544b558626106223c92e99928a49e1d9386058
progress/1-balanced-cool/E.coli/Micro-C/200/NC_000913.3_200.cool	balanced_contact_matrix	E.coli	Micro-C	200	NC_000913.3	progress/1-balanced-cool/E.coli/Micro-C/200/NC_000913.3_200.cool	38808031	8fcf7761831e15ffa628fc8f65bb83ed65c3d48797deae7b1a201b9888ff05c8
progress/1-balanced-cool/E.coli/Micro-C/500/NC_000913.3_500.cool	balanced_contact_matrix	E.coli	Micro-C	500	NC_000913.3	progress/1-balanced-cool/E.coli/Micro-C/500/NC_000913.3_500.cool	33472715	dd26203fa5f42447bfa94f24a47a9458afb33ef2d42a4da48e99c9b04b0ccc80
progress/1-expression-data/ATAC/A5-1.rmdup.last.bw	chromatin_accessibility	BY4741	ATAC-seq		all	Original record/0-2-BY4741/BY4741/bw/A5-1.rmdup.last.bw	1569162	9532711e2e9fc0b906d3f43577985d46e3dc2936054a428edd2fed3292b64deb
progress/1-expression-data/BY4741-TPM-FPKM.tsv	expression_table	BY4741	RNA-seq		all	progress/1-expression-data/BY4741-TPM-FPKM.tsv	5832879	ec6f14b83f49dec88e596c9e92635be79463e09c27fd6a1ff6f95f75254ac37e
progress/1-expression-data/Ecoli_expression_annotated_readable.tsv	expression_annotation_table	E.coli	RNA-seq		all	progress/1-expression-data/Ecoli_expression_annotated_readable.tsv	2373030	2bf3c110de4739eeecaa7ab21615e14a6b9d723152b4d74eafcf0a6edced7324
progress/1-expression-data/GCF_000005845.2_ASM584v2_genomic.gff	reference_annotation	E.coli	GFF		all	progress/1-expression-data/GCF_000005845.2_ASM584v2_genomic.gff	2467646	af8609c2ff73e4e23f2007b4938470d350fe8ee75dba832f908992855767fac8
progress/1-expression-data/kegg/kegg_pathway_brite_br08901.txt	pathway_hierarchy	BY4741	KEGG		all	progress/1-expression-data/kegg/kegg_pathway_brite_br08901.txt	25796	bf3dab3e2808beb1bbe3eefc1e4ba9a113bede46f2dabc59af22dc5a9a0f6544
progress/1-expression-data/kegg/sce_gene_pathway_link.tsv	gene_pathway_mapping	BY4741	KEGG		all	progress/1-expression-data/kegg/sce_gene_pathway_link.tsv	149992	dedd89cbc33f9ffb0057bf03742b24ae8d9d93e16f7609a5cf836a18a196a18b
progress/1-expression-data/kegg/sce_pathway_list.tsv	pathway_names	BY4741	KEGG		all	progress/1-expression-data/kegg/sce_pathway_list.tsv	11141	1282af473bd284b75b72c2710481d43d3ab62d2433ea6f751fc597046be6324a
progress/1-expression-data/ontology/go-basic.obo	ontology	BY4741	GO		all	progress/1-expression-data/ontology/go-basic.obo	32212518	923645000afcb1df0e72e252b64950b1c2bcc98c9393fec8c1dd1a0f7c9d4d77
progress/1-expression-data/ontology/sgd.gaf.gz	functional_annotation	BY4741	GO		all	progress/1-expression-data/ontology/sgd.gaf.gz	2602501	f9c603d5fc358d7a2fa3dc6cd8d354d0723a13e1dfa92e608091d11943d4559e
progress/1-expression-data/S288C.gff	reference_annotation	BY4741	GFF		all	progress/1-expression-data/S288C.gff	12189355	9d45fa428b2784659d73a5a5f7b0f6b9f24fe4b1027e4760737b97461e544fa5
